,dataset,model,layers,qubits,exp,grad1,grad2
0,wdbc,PQC-4C,1,10,7,0.0005238551693965234,9.25004185870709e-05
1,wdbc,PQC-4C,1,10,7,8.057629378745996e-05,0.0008686978899896691
2,wdbc,PQC-4C,1,10,7,0.0005544520117950528,0.0009571301802738585
3,wdbc,PQC-4C,1,10,7,0.0018006774495739433,0.00012829371725209268
4,wdbc,PQC-4C,1,10,7,0.0005691447135217881,0.00016815112178446758
5,wdbc,PQC-4C,1,10,7,0.0010427791637888859,0.0002496600370517054
6,wdbc,PQC-4C,1,10,7,0.0001489479663434713,0.0009590542294944011
7,wdbc,PQC-4C,1,10,7,0.00013558621010854223,0.00026148173827496827
8,wdbc,PQC-4C,1,10,7,2.6497965799006833e-05,0.000407012707454965
9,wdbc,PQC-4C,1,10,7,7.11848460306825e-05,0.00024998592720041246
10,wdbc,PQC-4C,1,10,7,0.0005275340391172674,0.0006641361687068593
11,wdbc,PQC-4C,1,10,7,0.0003482153535886355,0.00020048026864482465
12,wdbc,PQC-4C,1,10,7,0.00032605695393855025,0.00011580480470912951
13,wdbc,PQC-4C,1,10,7,0.0007793066903668337,0.00037071722332905144
14,wdbc,PQC-4C,1,10,7,4.640116534742403e-05,4.3064802301301734e-07
15,wdbc,PQC-4C,1,10,7,0.00024175657767961859,0.0002260849803568486
16,wdbc,PQC-4C,1,10,7,3.0585136938964764e-07,0.0005838033085449495
17,wdbc,PQC-4C,1,10,7,0.0006660907892202878,0.0007834873474544069
18,wdbc,PQC-4C,1,10,7,1.1886088667211761e-05,8.059805090876387e-05
19,wdbc,PQC-4C,1,10,7,7.65271198004875e-05,6.771483493737238e-05
20,wdbc,PQC-4C,2,10,7,1.4161718679789427e-05,0.0011381332610401946
21,wdbc,PQC-4C,2,10,7,0.0001003211771697877,0.0019587056881107713
22,wdbc,PQC-4C,2,10,7,0.00023800232246677108,0.0016119681598909662
23,wdbc,PQC-4C,2,10,7,1.859934462724314e-06,0.0036655866080681754
24,wdbc,PQC-4C,2,10,7,1.507701003084834e-06,0.0006481480255408834
25,wdbc,PQC-4C,2,10,7,1.4392570789978163e-06,0.00027412499867126124
26,wdbc,PQC-4C,2,10,7,5.415728234204633e-06,0.00041047400811641555
27,wdbc,PQC-4C,2,10,7,2.759326804586681e-05,0.0012660032137884584
28,wdbc,PQC-4C,2,10,7,7.33049318435734e-05,0.0008882066559120498
29,wdbc,PQC-4C,2,10,7,2.846737246930354e-06,0.00016110135615248175
30,wdbc,PQC-4C,2,10,7,5.950671766992778e-05,0.008017660985328115
31,wdbc,PQC-4C,2,10,7,7.554213538565417e-06,0.0001707977204299348
32,wdbc,PQC-4C,2,10,7,3.0170321363385097e-06,0.00017956034737627287
33,wdbc,PQC-4C,2,10,7,8.814883701807993e-07,0.0002636630164734333
34,wdbc,PQC-4C,2,10,7,4.534580242767787e-06,4.485971802336925e-05
35,wdbc,PQC-4C,2,10,7,3.6094177994176754e-05,0.00015148018377571755
36,wdbc,PQC-4C,2,10,7,7.374718016459989e-06,8.995208142272133e-05
37,wdbc,PQC-4C,2,10,7,1.5158908283133869e-06,8.092852331199441e-05
38,wdbc,PQC-4C,2,10,7,2.42117145531614e-05,0.00013325101710316443
39,wdbc,PQC-4C,2,10,7,8.402056840285547e-06,0.00022012063629740778
40,wdbc,PQC-4C,3,10,7,1.4516844970424945e-05,0.0024036944099126863
41,wdbc,PQC-4C,3,10,7,2.587433144974844e-05,0.00015558815451879434
42,wdbc,PQC-4C,3,10,7,0.0001361337369279106,0.0007479834829905034
43,wdbc,PQC-4C,3,10,7,1.2480235701876747e-05,0.0001187626472901075
44,wdbc,PQC-4C,3,10,7,2.7909527624346788e-05,4.20303179151775e-05
45,wdbc,PQC-4C,3,10,7,1.1485544578559692e-05,0.0031180377244868457
46,wdbc,PQC-4C,3,10,7,5.943222885125137e-05,0.00196210426795019
47,wdbc,PQC-4C,3,10,7,0.0001366759061760765,3.2766222453017315e-05
48,wdbc,PQC-4C,3,10,7,2.8566085303604818e-05,0.002932928963342691
49,wdbc,PQC-4C,3,10,7,1.4263719969295903e-05,0.0004246805634485658
50,wdbc,PQC-4C,3,10,7,5.503594786360271e-06,8.217752715024478e-05
51,wdbc,PQC-4C,3,10,7,1.4473839389039551e-05,9.149809827002661e-05
52,wdbc,PQC-4C,3,10,7,2.7142674831729136e-06,0.000533872147210451
53,wdbc,PQC-4C,3,10,7,2.2074366859517644e-05,0.0004598756042694639
54,wdbc,PQC-4C,3,10,7,3.356605913384064e-06,5.80359048143937e-05
55,wdbc,PQC-4C,3,10,7,7.789524632817594e-05,0.00455778444439696
56,wdbc,PQC-4C,3,10,7,2.2796177493623135e-05,0.00034831179979956275
57,wdbc,PQC-4C,3,10,7,0.00010470332229427906,0.00017595824451476698
58,wdbc,PQC-4C,3,10,7,2.938297587055823e-05,0.00013360373324673228
59,wdbc,PQC-4C,3,10,7,2.501064732772245e-05,9.187086433799735e-05
60,wdbc,PQC-4C,4,10,7,3.7352869952388296e-05,2.6499092608224364e-05
61,wdbc,PQC-4C,4,10,7,9.535698603445698e-05,9.503346470175496e-05
62,wdbc,PQC-4C,4,10,7,8.91890107761638e-05,0.0012294217703203401
63,wdbc,PQC-4C,4,10,7,9.077528077938904e-05,0.0017694836975286625
64,wdbc,PQC-4C,4,10,7,8.150688380852779e-05,0.0004991414453973503
65,wdbc,PQC-4C,4,10,7,8.025750721902377e-05,0.00022009470840466593
66,wdbc,PQC-4C,4,10,7,1.1354841659211601e-05,7.216111680072079e-05
67,wdbc,PQC-4C,4,10,7,9.669649560472436e-05,0.0013445887970507044
68,wdbc,PQC-4C,4,10,7,0.00012993452419565927,0.0003034906385027462
69,wdbc,PQC-4C,4,10,7,6.923285435777651e-06,9.312872944580733e-05
70,wdbc,PQC-4C,4,10,7,4.858151046598241e-05,0.0002124091819802829
71,wdbc,PQC-4C,4,10,7,1.4605100521118622e-05,0.00012476779344143332
72,wdbc,PQC-4C,4,10,7,4.766413353195587e-05,0.0003950023781534834
73,wdbc,PQC-4C,4,10,7,8.752902340363746e-05,0.00045895564646354447
74,wdbc,PQC-4C,4,10,7,0.00039254573407162223,0.0010494691737548364
75,wdbc,PQC-4C,4,10,7,4.908719057762341e-05,0.00036176722189606097
76,wdbc,PQC-4C,4,10,7,7.469050460116395e-06,0.00013828109604436693
77,wdbc,PQC-4C,4,10,7,1.4761547900521673e-05,8.804173323156732e-05
78,wdbc,PQC-4C,4,10,7,0.0004795508009013771,0.00034593264475174003
79,wdbc,PQC-4C,4,10,7,1.584527688246668e-05,0.0001050268350112212
80,wdbc,PQC-4C,5,10,7,4.368312070293555e-05,7.613828362648126e-05
81,wdbc,PQC-4C,5,10,7,3.5395574120863415e-05,7.588370575683266e-05
82,wdbc,PQC-4C,5,10,7,1.2461943072589627e-05,5.614675638452185e-05
83,wdbc,PQC-4C,5,10,7,2.6214769557830946e-05,8.099912940320017e-05
84,wdbc,PQC-4C,5,10,7,0.00017182459021349283,0.0005389109707235358
85,wdbc,PQC-4C,5,10,7,0.00022655733371325314,0.0008811887322787737
86,wdbc,PQC-4C,5,10,7,0.00015922808259382802,0.0002904755708244905
87,wdbc,PQC-4C,5,10,7,3.5761988129212065e-05,0.00010806040463810656
88,wdbc,PQC-4C,5,10,7,0.0004588104149200055,0.0011901140587125198
89,wdbc,PQC-4C,5,10,7,1.6537322164890144e-05,9.249809073431753e-05
90,wdbc,PQC-4C,5,10,7,0.0001272828078312457,0.00045284654834555475
91,wdbc,PQC-4C,5,10,7,0.0005843450706388688,0.0006277663511983432
